species_common_name,species_scientific_name,taxonomic_group,region,iucn_status,iucn_status_numeric,year,population,is_interpolated,data_source,population_change,population_pct_change,population_rolling_3yr,population_rolling_5yr,overall_trend,risk_level
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1979,1300000,False,African Elephant Database,-69100.000000,-5.315385,1300000.000000,1300000.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1980,1230900,True,African Elephant Database,-69100.000000,-5.315385,1265450.000000,1265450.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1981,1161800,True,African Elephant Database,-69100.000000,-5.613779,1230900.000000,1230900.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1982,1092700,True,African Elephant Database,-69100.000000,-5.947667,1161800.000000,1196350.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1983,1023600,True,African Elephant Database,-69100.000000,-6.323785,1092700.000000,1161800.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1984,954500,True,African Elephant Database,-69100.000000,-6.750684,1023600.000000,1092700.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1985,885400,True,African Elephant Database,-69100.000000,-7.239392,954500.000000,1023600.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1986,816300,True,African Elephant Database,-69100.000000,-7.804382,885400.000000,954500.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1987,747200,True,African Elephant Database,-69100.000000,-8.465025,816300.000000,885400.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1988,678100,True,African Elephant Database,-69100.000000,-9.247859,747200.000000,816300.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1989,609000,False,African Elephant Database,-69100.000000,-10.190237,678100.000000,747200.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1990,604167,True,African Elephant Database,-4833.000000,-0.793596,630422.000000,690953.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1991,599333,True,African Elephant Database,-4834.000000,-0.800110,604167.000000,647560.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1992,594500,True,African Elephant Database,-4833.000000,-0.806396,599333.000000,617020.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1993,589667,True,African Elephant Database,-4833.000000,-0.812952,594500.000000,599333.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1994,584833,True,African Elephant Database,-4834.000000,-0.819785,589667.000000,594500.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1995,580000,False,African Elephant Database,-4833.000000,-0.826390,584833.000000,589667.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1996,568571,True,African Elephant Database,-11429.000000,-1.970517,577801.000000,583514.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1997,557143,True,African Elephant Database,-11428.000000,-2.009951,568571.000000,576043.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1998,545714,True,African Elephant Database,-11429.000000,-2.051358,557143.000000,567252.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,1999,534286,True,African Elephant Database,-11428.000000,-2.094137,545714.000000,557143.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2000,522857,True,African Elephant Database,-11429.000000,-2.139117,534286.000000,545714.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2001,511429,True,African Elephant Database,-11428.000000,-2.185684,522857.000000,534286.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2002,500000,False,African Elephant Database,-11429.000000,-2.234719,511429.000000,522857.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2003,494400,True,African Elephant Database,-5600.000000,-1.120000,501943.000000,512594.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2004,488800,True,African Elephant Database,-5600.000000,-1.132686,494400.000000,503497.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2005,483200,True,African Elephant Database,-5600.000000,-1.145663,488800.000000,495566.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2006,477600,True,African Elephant Database,-5600.000000,-1.158940,483200.000000,488800.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2007,472000,False,African Elephant Database,-5600.000000,-1.172529,477600.000000,483200.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2008,454896,True,African Elephant Database,-17104.000000,-3.623729,468165.000000,475299.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2009,437792,True,African Elephant Database,-17104.000000,-3.759980,454896.000000,465098.000000,stable,Medium
African Elephant,Loxodonta africana,Mammal,Africa,EN,3,2010,420688,True,African Elephant Database,-17104.000000,-3.906878,437792.000000,452595.000000,stable,Medium
